Producer;Title;Year;Picname;Critic;Critic_S;Score;Rating
Cune;Cune Crianza Rioja;2016;Cune Crianza Rioja 2016.jpg;Wine Enthusiast;WE;90;"Wine Enthusiast 90 WE TOP 100 2019 Rank 41 Best Buys * ""Berry, spice and tobacco aromas work in unison to give this Crianza a nice start. A firm palate avoids jamminess and shows grip. Dark plum, raspberry, spice and pepper flavors hold on through the finish. For everyday Rioja, there isn't much better than this."" -MS"
Cune;Cune Crianza Rioja;2016;Cune Crianza Rioja 2016.jpg;Wine Spectator;WS;90;"Wine Spectator 90 * ""Black cherry, red plum, licorice and smoke flavors mingle in this round red. Shows good density, while orange peel acidity and light tannins keep this focused. Drink now through 2028. 375,000 cases made, 10,000 cases imported. TM"""
Cune;Cune Crianza Rioja;2016;Cune Crianza Rioja 2016.jpg;Wine Advocate;WA;90;"Wine Advocate 90 * ""The red 2016 Cune Crianza is an affordable and classical blend of Tempranillo with some 15 Garnacha and Mazuelo that is easy to drink and understand, with a soft palate and an approachable profile. It has a bright nose with red fruit rather than black, quite aromatic and expressive. The palate is soft and approachable, very easy to drink, with a touch of freshness. They produced a whopping 4.5 million bottles of this! The bottle I tasted was bottled in April 2019 after 12 months in barrique. There are eight different lots of this wine that are bottled throughout the year, for which they try to make the most homogeneous blend possible, but some variation is inevitable. But the overall quality of this year is certainly higher than the previous one."""
Soter;Planet Oregon Pinot Noir;2018;Planet Oregon Pinot Noir 2018.jpg;Wine Enthusiast;WE;92;"Wine Enthusiast 92 * Editor's Choice * ""Oregon is the value brand from Soter Vineyards, offering exceptional quality at an affordable price. Scents of raspberries laced with pine needles greet you with light and pretty flavors of rhubarb and raspberry, along with more of that pine-forest accent. Its a delightful wine for near-term enjoyment, with enough tannins to show some grip through the finish. Editors Choice."""
Soter;Planet Oregon Pinot Noir;2018;Planet Oregon Pinot Noir 2018.jpg;Vinous;VIN;90;"Vinous Media 90 * ""Bright ruby-red. Perfumed aromas of cherry, raspberry and succulent herbs, along with a subtle floral topnote. Juicy and seamless on the palate, offering spice-tinged red berry and bitter cherry flavors that deepen steadily on the back half. Turns sweeter on the clinging finish, showing very good clarity, well-knit tannins and lingering spiciness.-- Josh Raynolds"""
Legit;Legit Cabernet Sauvignon;2016;Legit Cabernet Sauvignon 2016.jpg;Wine Spectator;WS;95;"Wine Spectator 95 * "" An impressive red of breadth and depth, featuring black cherry, plum, leather, earth, iron and cedar aromas and flavors. This is solidly built and well-balanced, with finely honed tannins and lively acidity providing backbone. Best from 2021 through 2040."" *  BS"
Orin Swift D66;Prisoner Wine Co. Saldo Zinfandel;2019;Prisoner Wine Co. Saldo Zinfandel 2019.jpg;Wilfred Wong;WW;93;Wilfred Wong 93 * “The 2019 Saldo Zinfandel gushes forward with excellent power without taking over the palate. This remarkable wine offers a lasting impression of palate pleasures. TASTING NOTES: This wine offers alluring aromas and flavors of black fruit, savory spices, licorice, and oak. Serve it with roast duck topped with a cassis sauce.” (Tasted: February 15, 2021, San Francisco, CA)
Quilt;Quilt Cabernet Sauvignon;2017;Quilt Cabernet Sauvignon 2017.jpg;Wine Spectator;WS;92;Wine Spectator 92 * Frankly ripe, with a vivid beam of creamed plum, aa and boysenberry fruit flavors, glistening with vanilla-accented toast through a polished finish. Aimed squarely at the hedonist crowd. Drink now through 2022.-WS
Antica;Antica Cabernet Sauvignon;2016;Antica Cabernet Sauvignon 2016.jpg;James Suckling;JS;95;James Suckling 95 * A full and juicy red with berry and mushroom character, round and juicy tannins and a flavorful finish. Shows focus and tension.
Antica;Antica Cabernet Sauvignon;2016;Antica Cabernet Sauvignon 2016.jpg;Wine Enthusiast;WE;94;Wine Enthusiast 94 * This wine shows its mountain provenance in meaty, grippy and gritty tannins and a broad expansive weight on the palate. But beneath its brawn is beauty and a rounded lushness of delicious drinkability, a mix of brambly blackberry, cherry, cassis and crushed rock. Let it sit in the glass over time or consider cellaring.
Antica;Antica Cabernet Sauvignon;2016;Antica Cabernet Sauvignon 2016.jpg;Wine & Spirits;WAS;92;Wine & Spirits 92 * The Antinori family had been partners in this project when they purchased the estate in 1993, now 1,200 acres on Atlas Peak, with 600 planted to vines. They farm cabernet at the propertys highest elevations (1,800 feet), where the cool nights sustain freshness in the fruit. In 2016, this wine ripened to generous, savory depths of flavor, sustaining that coolness in tart cherry notes and generous, black-mushroom flavors in the tannins. Decant it for bistecca alla fiorentina.
Evodia;Evodia Garnacha Altovinum;2019;Evodia Garnacha Altovinum 2019.jpg;Jeb Dunnuck;JD;93;"Jeb Dunnuck 93 * ""Based on 100% Garnacha, the 2019 Evodia is a killer value that delivers incredible Garnacha flair at a crazy good price. Kirsch, blackberry, acacia flower, violet, and sandalwood notes give way to a medium to full-bodied, seamless, beautifully layered wine with fabulous tannins, no hard edges, and a great, great finish. This is the finest wine at this price point in the world.""~J.D."
Evodia;Evodia Garnacha Altovinum;2019;Evodia Garnacha Altovinum 2019.jpg;Wine Advocate;WA;90+;Wine Advocate 90+ * The 2019 Evodia is pure Garnacha from old head-pruned vines in the Sierra Santa Cruz in Calatayud. It fermented with around 20 full clusters in concrete and matured mostly in concrete with just 20 of the blend put in used oak barrels for three months. There is a component that matured in concrete egg that I was able to taste separately that seems to bring a touch of freshness to the final blend, something welcomed in a warm year like 2019, which seems like a fresher version of 2017, when the wines achieved quite good ripeness. The nose opens up nicely in the glass and is quite aromatic and floral, exuberant, with a heady touch of ripe fruit. It's young and tasty, tender and pleasant to drink, with a forward personality. A real bargain. I hope there are more wines like this in Aragon, where the wealth of Garnacha vineyards would make it possible quite easily. 150,000 bottles produced. There are two batches per year. What I tasted had been bottled in February 2020, just a few days before I sampled it.~L.G.
Bergstrom;Bergstrom Cumberland Reserve Pinot Noir;2017;Bergstrom Cumberland Reserve Pinot Noir 2017.jpg;Wine Advocate;WA;93;"Wine Advocate 93 * ""Medium ruby, the 2017 Pinot Noir Cumberland Reserve opens with scents of warm blackberries and cranberries, blood orange peel, scorched earth, tar, tea leaves and bright red berries with a spicy undercurrent. Its light to medium-bodied with a great interplay of bright fruits and amaro-like accents, a grainy frame and great freshness with a long, citrusy finish. Josh Bergstrom grabbed 2017 by the horns and made some lovely wines that illuminate the unique character of this vintage."""
Bergstrom;Bergstrom Cumberland Reserve Pinot Noir;2017;Bergstrom Cumberland Reserve Pinot Noir 2017.jpg;Wine Spectator;WS;91;"Wine Spectator 91 * ""Precise and well-structured, with raspberry, dusky spice and black tea flavors that persist toward refined tannins. Drink now through 2024. 5,000 cases made."""
Bergstrom;Bergstrom Cumberland Reserve Pinot Noir;2017;Bergstrom Cumberland Reserve Pinot Noir 2017.jpg;Wine Enthusiast;WE;91;"Wine Enthusiast 91 * ""A blend of grapes from five AVAs, this sports lush aromas of black fruit and char. Cherry and espresso flavors carry on through the midpalate, ultimately coming to a quick stop at a wall of tannin. That should be an easy fix with a bit more bottle age and/or generous decanting."""
Bergstrom;Bergstrom Cumberland Reserve Pinot Noir;2017;Bergstrom Cumberland Reserve Pinot Noir 2017.jpg;Wine & Spirits;WAS;91;Wine & Spirits 91 * Like strawberries crushed in a bowl and dusted with baking spice, this is assertive in its aromatics, with a lift that stresses freshness. It feels linear and firm, yet precise in its tannic weave. 
Antiche Terre Venete;Antiche Terre Amarone della Valpolicella;2016;Antiche Terre Amarone della Valpolicella 2016.jpg;Wine Spectator;WS;91;"Wine Spectator 91 * ""A rich red, with creamy tannins and juicy acidity, showing an expressive range of fig cake, sun-dried black cherry, coffee liqueur, dried thyme and smoke flavors. A balanced crowd-pleaser. Drink now through 2027. Tasted twice, with consistent notes."" ~AN"
Pinot Project;The Pinot Project Pinot Noir;2019;The Pinot Project Pinot Noir 2019.jpg;Wine Enthusiast;WE;91;"Wine Enthusiast 91 Best Buy * ""Pure and expressive, this wine is more than just fruity, adding enticing black-tea and forest-floor notes to its tasty cherry and rhubarb core. Medium to full bodied, it offers fine-grained tannins to firm up the texture. This is the third excellent vintage in a row for this remarkable value wine."""
Antigal;Antigal 1 Uno Malbec;2017;Antigal 1 Uno Malbec 2017.jpg;Wine Enthusiast;WE;90;"Wine Enthusiast 90 * ""Attractive aromas of wild berry fruits, lavender and cardamom give this Malbec a sense of exotic quality. A full hard-driving palate is intense at first and then it coasts. Flavors of black olive, dark plum and savory spices are earthy, salty, mildly complex and impressive through the finish line."""
Flowers;Flowers Vineyards Sonoma Pinot Noir;2018;Flowers Vineyards Sonoma Pinot Noir 2018.jpg;Jeb Dunnuck;JD;93;Jeb Dunnuck 93 * Moving to the reds, the appellation 2018 Pinot Noir Sonoma Coast was just about completely destemmed (2 stems) and spent 10 months in 18 new French oak. Lots of spice box, earthy forest floor, cherries, and redcurrant notes define the bouquet, and it's medium-bodied and balanced, with good acidity and a great finish. As with everything from this estate, it's impeccably made and high-quality.-JD
La Carraia;La Carraia Umbria Sangiovese;2019;La Carraia Umbria Sangiovese 2019.jpg;James Suckling;JS;90;James Suckling 90  *  A fruity, fine-tannined red with cherry, light chocolate, and vanilla aromas and flavors.  Medium body and a creamy-textured finish. Drink now.
Hess;Hess Allomi Vineyard Cabernet Sauvignon;2018;Hess Allomi Vineyard Cabernet Sauvignon 2018.jpg;Wilfred Wong;WW;90;"Wilfred Wong 90 * ""The 2018 Hess Collection Allomi Cabernet Sauvignon drinks generously and tenderly. TASTING NOTES: This wine sports aromas and flavors of black fruit, anise, and dust."""
J Portugal Ramos;J Portugal Ramos Reserva;2018;J Portugal Ramos Reserva 2018.jpg;Wine Enthusiast;WE;90;"Wine Enthusiast 90 * ""While it is rich, this wine is also elegant. Ripe tannins are effortlessly integrated with the blackberry fruits, maturing structure and juicy aftertaste."""
Malacari;Malacari Rosso Conero;2016;Malacari Rosso Conero 2016.jpg;Vinous;VIN;92;"Vinous Media 92 * ""The 2016 Malacari Rosso Conero explodes from the glass with a mix of ripe cherries and blueberries, complemented by hints of cinnamon and clove and a grounding note of fresh bay leaves. It floods the palate with silky richness, ushering in dark ripe fruits and spice in a round and deeply satisfying expression, as fine tannins slowly settle in. The finish is long and structured, yet still quite fresh, balanced by residual acids with a purple floral air, and hints of wild berry lingering on. Wow, this is a mouthful of gorgeous Montepulciano fruit, and its a real value score as well."""
Lan;Bodegas Lan Gran Reserva Rioja;2011;Bodegas Lan Gran Reserva Rioja 2011.jpg;James Suckling;JS;94;James Suckling 94 * This is an impressive Gran Reserva. It opens with cinnamon, five spice, iodine, vanilla, resin, elderberries, cherry liqueur, blackberries and black raspberries. The palate is plush, full-bodied and very concentrated, but theres enough depth of field to the tannins to take on the immense, dark-fruit flavors. Some cutting acidity drives this home. * by James Suckling, JS, 2019.
Two Hands;Two Hands Angels Share Shiraz;2018;Two Hands Angels Share Shiraz 2018.jpg;Wine Spectator;WS;93;"Wine Spectator 93 * ""Framboise, cherry and currant flavors are intense and focused, with a complex beam of rosemary and cigar box notes, backed by dense, sink-your-teeth-into-them tannins that add rich density. Finishes with fragrant accents of violet and white pepper."" Drink now through 2035."
Mount Veeder;Mount Veeder Winery Cabernet Sauvignon;2018;Mount Veeder Winery Cabernet Sauvignon 2018.jpg;James Suckling;JS;95;James Suckling 95 * “Plenty of blueberry and chocolate aromas and flavors. It’s full-bodied with round, fresh tannins. Lot of blue fruit and walnuts. Then crushed stones with the fruit at the finish. Flavorful, yet not overdone. Give this four or five years to come around. Try after 2025.”
Mount Veeder;Mount Veeder Winery Cabernet Sauvignon;2018;Mount Veeder Winery Cabernet Sauvignon 2018.jpg;Wine Advocate;WA;92;Wine Advocate 92 * “A blend of 82% Cabernet Sauvignon, 8% Merlot, 6% Petit Verdot and 4% Malbec, the 2018 Cabernet Sauvignon has a deep garnet-purple color. The nose absolutely sings of warm blackcurrants, black cherries and mulberries plus fragrant suggestions of chocolate box, lilacs and licorice. Medium to full-bodied, the palate is laden with energetic, crunchy black fruit flavors, framed by ripe, fine-grained tannins and loads of freshness, finishing long and perfumed. What a bargain price for this classic Napa Cab beauty! Rating: 92+“
